FO	1957	SWE	Sven Davidson	USA	Herbert Flam	6-3, 6-4, 6-4	2
WO	1957	AUS	Lew Hoad	AUS	Ashley Cooper	6-2, 6-1, 6-2	3
USO	1957	AUS	Malcolm Anderson	AUS	Ashley Cooper	10-8, 7-5, 6-4	4
AO	1958	AUS	Ashley Cooper	AUS	Malcolm Anderson	7-5, 6-3, 6-4	1
FO	1958	AUS	Mervyn Rose	CHI	Luis Ayala	6-3, 6-4, 6-4	2
WO	1958	AUS	Ashley Cooper	AUS	Neale Fraser	3-6, 6-3, 6-4, 13-11	3
USO	1958	AUS	Ashley Cooper	AUS	Malcolm Anderson	6-2, 3-6, 4-6, 10-8, 8-6	4
AO	1959	USA[g]	Alex Olmedo	AUS	Neale Fraser	6-1, 6-2, 3-6, 6-3	1
FO	1959	ITA	Nicola Pietrangeli	RSA	Ian Vermaak	3-6, 6-3, 6-4, 6-1	2
WO	1959	USA[j]	Alex Olmedo	AUS	Rod Laver	6-4, 6-3, 6-4	3
USO	1959	AUS	Neale Fraser	USA	Alex Olmedo	6-3, 5-7, 6-2, 6-4	4
AO	1960	AUS	Rod Laver	AUS	Neale Fraser	5-7, 3-6, 6-3, 8-6, 8-6	1
FO	1960	ITA	Nicola Pietrangeli	CHI	Luis Ayala	3-6, 6-3, 6-4, 4-6, 6-3	2
WO	1960	AUS	Neale Fraser	AUS	Rod Laver	6-4, 3-6, 9-7, 7-5	3
USO	1960	AUS	Neale Fraser	AUS	Rod Laver	6-4, 6-4, 9-7	4
AO	1961	AUS	Roy Emerson	AUS	Rod Laver	1-6, 6-3, 7-5, 6-4	1
FO	1961	ESP	Manuel Santana	ITA	Nicola Pietrangeli	4-6, 6-1, 3-6, 6-0, 6-2	2
WO	1961	AUS	Rod Laver	USA	Chuck McKinley	6-3, 6-1, 6-4	3
USO	1961	AUS	Roy Emerson	AUS	Rod Laver	7-5, 6-3, 6-2	4
